path_group,role,kind,name,url,canonical_duplicate_of
services,detail,service,Penetration Testing,https://www.sophos.com/en-gb/services/advisory-services/penetration-testing,
services,detail,service,AI speed. Human judgment.,https://www.sophos.com/en-gb/services/managed-detection-and-response,
services,detail,service,Expert-led threat detection and response for Microsoft environments,https://www.sophos.com/en-gb/services/managed-detection-and-response/microsoft,
services,detail,service,Sophos Managed Risk,https://www.sophos.com/en-gb/services/managed-risk,
services,detail,service,Sophos Security Services Retainer,https://www.sophos.com/en-gb/services/security-services-retainer,
solutions,detail,solution,"Unified cloud security, from edge to workload.",https://www.sophos.com/en-gb/public-cloud,
solutions,detail,solution,AI-powered cyber defenses,https://www.sophos.com/en-gb/solutions/ai-cybersecurity,
solutions,detail,solution,Sophos AI Assistant,https://www.sophos.com/en-gb/solutions/ai-cybersecurity/ai-assistant,
solutions,detail,solution,AI for cybersecurity toolkit,https://www.sophos.com/en-gb/solutions/ai-cybersecurity/ai-cybersecurity-toolkit,
solutions,detail,solution,AI speed. Human judgment.,https://www.sophos.com/en-gb/solutions/mdr-security-solutions,https://www.sophos.com/en-gb/services/managed-detection-and-response
solutions,detail,solution,Neutralize cyber threats around the clock,https://www.sophos.com/en-gb/solutions/neutralize-threats,https://www.sophos.com/en-gb/solutions/mdr-security-solutions
solutions,overview,solutions_overview,"Next-Gen Security Solutions for Industries, Use Cases, and Compliance",https://www.sophos.com/en-gb/solutions,
solutions/compliance,detail,solution_compliance,Sophos supports efforts to comply with the CCPA,https://www.sophos.com/en-gb/solutions/compliance/ccpa,
solutions/compliance,detail,solution_compliance,Easily comply with CIPA requirements with help from Sophos,https://www.sophos.com/en-gb/solutions/compliance/cipa,
solutions/compliance,detail,solution_compliance,CIS Critical Security Controls are essential for your security,https://www.sophos.com/en-gb/solutions/compliance/cis-critical-security-controls,
solutions/compliance,detail,solution_compliance,Get help with the EU General Data Protection Regulation (GDPR),https://www.sophos.com/en-gb/solutions/compliance/gdpr,
solutions/compliance,detail,solution_compliance,Sophos supports your efforts to fast-track HIPAA compliance,https://www.sophos.com/en-gb/solutions/compliance/hipaa,
solutions/compliance,detail,solution_compliance,PCI DSS compliance can be a challenge,https://www.sophos.com/en-gb/solutions/compliance/pci-dss,
solutions/compliance,detail,solution_compliance,SOX compliance is important for your financial data security,https://www.sophos.com/en-gb/solutions/compliance/sox,
solutions/industries,detail,solution_industry,Cybersecurity as a service for Education,https://www.sophos.com/en-gb/solutions/industries/education,
solutions/industries,detail,solution_industry,Sophos Protected Classroom,https://www.sophos.com/en-gb/solutions/industries/education1,
solutions/industries,detail,solution_industry,"Trust Sophos to Secure Your Financial Data, Transactions, and Operations",https://www.sophos.com/en-gb/solutions/industries/finance-and-banking,
solutions/industries,detail,solution_industry,Trust Sophos Cybersecurity for Uninterrupted Delivery of Essential Services by Government Agencies,https://www.sophos.com/en-gb/solutions/industries/government,
solutions/industries,detail,solution_industry,Trusted cybersecurity for NHS,https://www.sophos.com/en-gb/solutions/industries/healthcare,
solutions/industries,detail,solution_industry,The World's Most Trusted Cybersecurity for Modern Manufacturing,https://www.sophos.com/en-gb/solutions/industries/manufacturing,
solutions/industries,detail,solution_industry,End-to-End Cybersecurity for Retailers,https://www.sophos.com/en-gb/solutions/industries/retail,
solutions/industries,detail,solution_industry,Cybersecurity as a Service for Federal Government,https://www.sophos.com/en-gb/solutions/industries/us-federal,
solutions/use-cases,detail,solution_use_case,Optimize Your Cyber Insurance Position,https://www.sophos.com/en-gb/solutions/use-cases/cyber-insurance,
solutions/use-cases,detail,solution_use_case,Data Loss Prevention,https://www.sophos.com/en-gb/solutions/use-cases/data-protection,
solutions/use-cases,detail,solution_use_case,Insider Threat Protection,https://www.sophos.com/en-gb/solutions/use-cases/insider-threat-protection,
solutions/use-cases,detail,solution_use_case,Sophos and Microsoft: Stronger together for better security,https://www.sophos.com/en-gb/solutions/use-cases/microsoft,
solutions/use-cases,detail,solution_use_case,Sophos Email for Microsoft 365,https://www.sophos.com/en-gb/solutions/use-cases/microsoft-365,
solutions/use-cases,detail,solution_use_case,Sophos Email for Microsoft 365,https://www.sophos.com/en-gb/solutions/use-cases/microsoft-365-email,https://www.sophos.com/en-gb/solutions/use-cases/microsoft-365
solutions/use-cases,detail,solution_use_case,Strengthen your ransomware defenses,https://www.sophos.com/en-gb/solutions/use-cases/ransomware-protection,
solutions/use-cases,detail,solution_use_case,Strengthen your ransomware defenses,https://www.sophos.com/en-gb/solutions/use-cases/ransomware-protection-1,https://www.sophos.com/en-gb/solutions/use-cases/ransomware-protection
solutions/use-cases,detail,solution_use_case,Secure your remote workforce,https://www.sophos.com/en-gb/solutions/use-cases/remote-working,
solutions/use-cases,detail,solution_use_case,Securing Your Supply Chain,https://www.sophos.com/en-gb/solutions/use-cases/supply-chain-security,
solutions/use-cases,detail,solution_use_case,Threat Prevention,https://www.sophos.com/en-gb/solutions/use-cases/threat-prevention,
solutions/use-cases,detail,solution_use_case,Virtualization,https://www.sophos.com/en-gb/solutions/use-cases/virtualization,
